a
adeus
agora
ainda
algo
algumas
alguns
ali
além
ano
anos
antes
ao
aos
apenas
apoio
após
aquela
aquelas
aquele
aqueles
aqui
aquilo
as
assim
através
atrás
até
aí
baixo
bastante
bem
boa
boas
bom
bons
breve
cada
catorze
cedo
cento
certamente
certeza
cima
cinco
coisa
com
como
conselho
contra
custa
cá
da
daquela
daquelas
daquele
daqueles
dar
das
de
debaixo
dela
delas
dele
deles
demais
dentro
depois
desde
dessa
dessas
desse
desses
desta
destas
deste
destes
deve
deverá
dez
dezanove
dezasseis
dezassete
dezoito
dia
diante
diz
dizem
dizer
do
dois
dos
doze
duas
dá
dão
dúvida
e
ela
elas
ele
eles
em
embora
entre
era
eram
essa
essas
esse
esses
esta
estamos
estar
estas
estava
estavam
este
esteja
estejam
estejamos
estes
esteve
estive
estivemos
estiver
estivera
estiveram
estiverem
estivermos
estivesse
estivessem
estiveste
estivestes
estivéramos
estivéssemos
estou
está
estás
estávamos
estão
eu
exemplo
falta
favor
faz
fazeis
fazem
fazemos
fazer
fazes
faço
fez
fim
final
foi
fomos
for
fora
foram
forem
forma
formos
fosse
fossem
foste
fostes
fui
fôramos
fôssemos
geral
grande
grandes
grupo
haja
hajam
hajamos
havemos
hei
hoje
hora
horas
houve
houvemos
houver
houvera
houveram
houverei
houverem
houveremos
houveria
houveriam
houvermos
houverá
houverão
houveríamos
houvesse
houvessem
houvéramos
houvéssemos
há
hão
isso
isto
já
lado
lhe
lhes
local
logo
longe
lugar
lá
maior
maioria
mais
mal
mas
me
meio
menor
menos
meses
mesmo
meu
meus
mil
minha
minhas
momento
muito
muitos
máximo
mês
na
nada
naquela
naquelas
naquele
naqueles
nas
nem
nenhuma
nessa
nessas
nesse
nesses
nesta
nestas
neste
nestes
no
noite
nome
nos
nossa
nossas
nosso
nossos
nova
novas
nove
novo
novos
num
numa
nunca
não
nível
nós
número
o
obra
obrigada
obrigado
oitava
oitavo
oito
onde
ontem
onze
os
ou
outra
outras
outro
outros
para
parece
parte
partir
paucas
pela
pelas
pelo
pelos
perto
pode
podem
poder
ponto
pontos
por
porque
porquê
posição
possivelmente
posso
possível
pouca
pouco
poucos
primeira
primeiras
primeiro
primeiros
própria
próprias
próprio
próprios
próxima
próximas
próximo
próximos
puderam
pôde
põe
põem
qual
quando
quanto
quarta
quarto
quatro
que
quem
quer
quereis
querem
queremas
queres
quero
questão
quinta
quinto
quinze
quáis
quê
relação
sabe
sabem
se
segunda
segundo
sei
seis
seja
sejam
sejamos
sem
sempre
ser
serei
seremos
seria
seriam
será
serão
seríamos
sete
seu
seus
sexta
sexto
sim
sistema
sob
sobre
sois
somos
sou
sua
suas
são
sétima
sétimo
só
tal
talvez
também
tanta
tantas
tanto
tarde
te
tem
temos
tendes
tenha
tenham
tenhamos
tenho
tens
ter
terceira
terceiro
terei
teremos
teria
teriam
terá
terão
teríamos
teu
teus
teve
tinha
tinham
tive
tivemos
tiver
tivera
tiveram
tiverem
tivermos
tivesse
tivessem
tiveste
tivestes
tivéramos
tivéssemos
toda
todas
todo
todos
trabalho
treze
três
tu
tua
tuas
tudo
tão
tém
têm
tínhamos
um
uma
umas
uns
vai
vais
vem
vens
ver
vez
vezes
viagem
vindo
vinte
você
vocês
vos
vossa
vossas
vosso
vossos
vários
vão
vêm
vós
zero
à
às
área
é
éramos
és
